Well_id,BOREHOLE-DEPTH.M,CALI_COMP.INCHES,GR_COMP.GAPI,NPHI_COMP.V/V,RHOB_COMP.G/C3,RT_COMP.OHMM,SP_COMP.MV,TVDSS_COMP.M,TVD_COMP.M
Gabo-13,1985.01,14.3881,38.4322,0.23879,2.1924,6.3333,3.3392,1970.9781,1984.7781
Gabo-13,1985.1624,14.3882,42.6824,0.253567,2.1904,6.322,3.5709,1971.1305,1984.9305
Gabo-13,1985.3148,14.3086,40.2313,0.27338,2.1873,6.2593,3.5636,1971.2828,1985.0828
Gabo-13,1985.4672,14.2267,37.3046,0.288195,2.184,6.1844,3.3154,1971.4352,1985.2352
Gabo-13,1985.6196,14.1689,36.8546,0.287003,2.1797,6.1254,3.0212,1971.5876,1985.3876
Gabo-13,1985.772,14.133,37.8403,0.26615,2.1773,6.0865,2.7854,1971.7399,1985.5399
Gabo-13,1985.9244,14.1225,35.8019,0.243379,2.1801,6.0562,2.573,1971.8923,1985.6923
Gabo-13,1986.0768,14.1535,36.854,0.236021,2.1833,6.0189,2.3355,1972.0447,1985.8447
Gabo-13,1986.2292,14.216,47.0196,0.239419,2.1844,5.9634,2.0662,1972.1971,1985.9971
Gabo-13,1986.3816,14.3214,67.5654,0.250312,2.187,5.8874,1.6514,1972.3494,1986.1494
Gabo-13,1986.534,14.5794,93.4104,0.281789,2.2003,5.7937,0.9345,1972.5018,1986.3018
Gabo-13,1986.6864,14.8945,108.7007,0.331482,2.2325,5.6746,0.2024,1972.6542,1986.4542
Gabo-13,1986.8388,15.1821,111.6051,0.370047,2.2798,5.5276,-0.3309,1972.8065,1986.6065
Gabo-13,1986.9912,15.4036,108.1008,0.382082,2.3305,5.3634,-0.6987,1972.9589,1986.7589
Gabo-13,1987.1436,15.5013,109.9618,0.382657,2.3694,5.2064,-0.9652,1973.1113,1986.9113
